Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio
Inox Wind Ltd,INOXWIND,Heavy Electrical Equipments,1558.975538,70.25,-5.573542375
Heritage Foods Ltd,HERITGFOOD,FMCG - Foods,1532.98992,330.4,-9.563255895
SBI Gold ETF,SETFGOLD,Gold,1529.242464,4149.7,
Tide Water Oil Co India Ltd,TIDEWATER,Commodity Chemicals,1522.178626,4478.35,12.78564155
Lumax Industries Ltd,LUMAXIND,Auto Parts,1521.43686,1627.6,21.1575144
Bombay Dyeing and Mfg Co Ltd,BOMDYEING,Textiles,1515.966166,73.4,4.624244779
Sasken Technologies Ltd,SASKEN,Software Services,1512.751205,1007.25,20.54684266
West Coast Paper Mills Ltd,WSTCSTPAPR,Paper Products,1511.199015,228.8,4.080131257
Chennai Petroleum Corporation Ltd,CHENNPETRO,Oil & Gas - Refining & Marketing,1508.472482,101.3,-0.733550127
Balu Forge Industries Ltd,BALUFORGE,,1495.807,218,190.75
Dollar Industries Ltd,DOLLAR,Apparel & Accessories,1481.425054,261.2,25.83129999
RattanIndia Power Ltd,RTNPOWER,Power Generation,1476.779112,2.75,6.565325581
Indian Metals and Ferro Alloys Ltd,IMFA,Iron & Steel,1476.049455,547.15,-22.26318936
Himatsingka Seide Ltd,HIMATSEIDE,Textiles,1471.442256,149.45,111.0522458
Kiri Industries Ltd,KIRIINDUS,Specialty Chemicals,1467.571663,439.45,3.801524961
Novartis India Ltd,NOVARTIND,Pharmaceuticals,1455.399029,589.45,144.3848243
Ashiana Housing Ltd,ASHIANA,Real Estate,1440.094033,140.7,-47.62215717
Savita Oil Technologies Ltd,SOTL,Commodity Chemicals,1437.712906,1021.75,15.16662346
GTPL Hathway Ltd,GTPL,Cable & D2H,1432.779104,127.4,18.42802706
Panacea Biotec Ltd,PANACEABIO,Biotechnology,1429.898665,233.45,-8.023288099
I G Petrochemicals Ltd,IGPL,Specialty Chemicals,1420.104508,461.15,68.04137944
